Marka,Model,Rok produkcji,Przebieg,Pojemnosc silnika,Moc,Rodzaj paliwa,Skrzynia biegow,Kolor,Cena
Honda,Civic,2006,210000,1800,140,Benzyna,manualna,szary metalik,24700
Audi,A6,1999,316000,1800,150,Benzyna,manualna,bordowy metalik,7700
Citroën,C5,2005,230,1600,110,Olej Napędowy,manualna,złoty,12345
Toyota,Avensis,2004,206000,2000,116,Olej Napędowy,manualna,grafitowy,13500
Audi,A4,2003,296000,2000,130,Autogaz,manualna,srebrny metalik,13600
DS,DS3,2018,62000,1560,99,Olej Napędowy,manualna,granatowy metalik,48500
Alfa Romeo,Giulietta,2011,201500,1368,120,Benzyna,manualna,bordowy metalik,29900
Saab,9-5,2007,220,1910,150,Olej Napędowy,automatyczna,granatowy metalik,10800
Peugeot,308,2007,159000,1598,150,Benzyna,manualna,czarny,14500
Volkswagen,Passat,1999,263000,2496,150,Olej Napędowy,automatyczna,srebrny metalik,6500
Škoda,Superb,2010,244000,1968,170,Olej Napędowy,automatyczna,czarny metalik,38000
Mitsubishi,Colt,2006,260000,1493,95,Olej Napędowy,manualna,wiśniowy metalik,8500
Suzuki,Swift,2006,120000,1300,92,Benzyna,manualna,srebrny metalik,15000
Smart,Fortwo,2004,142000,600,62,Benzyna,automatyczna,biały metalik,6700
Škoda,Octavia,2011,146000,1200,105,Benzyna,manualna,biały,31900
Mazda,2,2007,187000,1388,80,Benzyna,manualna,czarny metalik,8900
Toyota,Auris,2007,156000,1398,97,Benzyna,manualna,srebrny metalik,18800
Peugeot,5008,2012,232000,1600,115,Olej Napędowy,automatyczna,srebrny metalik,29000
Peugeot,206,2003,262000,1100,200,Benzyna,manualna,biały,2000
Audi,A4,2001,400000,1900,101,Olej Napędowy,manualna,granatowy metalik,9000
Ford,Mondeo,2008,281,1753,125,Olej Napędowy,manualna,granatowy,18500
Audi,80,1989,250000,1800,90,Autogaz,manualna,czerwony,10900
Volkswagen,Golf Plus,2007,169000,1600,102,Benzyna,manualna,srebrny metalik,22900
Citroën,C4 Grand Picasso,2012,192000,2000,136,Olej Napędowy,automatyczna,beżowy,25500
Ford,S-Max,2010,265000,1997,140,Olej Napędowy,manualna,niebieski metalik,27800
Peugeot,207,2007,123000,1400,90,Benzyna,manualna,czarny metalik,11999
Audi,A4,2002,196400,2400,170,Autogaz,automatyczna,bordowy,15600
Toyota,Corolla,2005,230,1400,90,Olej Napędowy,automatyczna,biały metalik,12600
Volkswagen,up!,2012,167000,1999,70,Benzyna,manualna,biały metalik,19900
Volkswagen,Golf,2008,170000,1595,102,Benzyna,manualna,niebieski metalik,18800
Jeep,Cherokee,2004,150000,3700,210,Benzyna,automatyczna,czarny,12500
Toyota,Yaris,2006,229,1300,87,Benzyna,manualna,szary,10000
Volvo,V50,2012,216000,1600,115,Olej Napędowy,manualna,czarny,25900
Fiat,Punto,2002,111275,1199,60,Benzyna,manualna,niebieski,2600
Mercedes-Benz,Klasa A,2008,220000,2000,109,Olej Napędowy,automatyczna,czarny metalik,17700
Ford,KA,2004,146900,1,1,Benzyna,manualna,srebrny,2500
Peugeot,206,2001,251000,1400,75,Benzyna,manualna,niebieski,4900
Opel,Corsa,2003,200000,1200,74,Autogaz,manualna,srebrny metalik,3500
Ford,S-Max,2011,135,1,160,Benzyna,manualna,biały,35000
Opel,Mokka,2016,183,1600,136,Olej Napędowy,manualna,srebrny metalik,54000
Audi,80,1991,299,1900,84,Olej Napędowy,manualna,bordowy metalik,4500
Audi,A4,2004,319000,1,130,Olej Napędowy,manualna,srebrny metalik,11900
Toyota,Avensis,2003,261000,1995,116,Olej Napędowy,manualna,granatowy,7000
Škoda,Fabia,2000,136000,1400,75,Benzyna,manualna,srebrny metalik,4200
Seat,Leon,2004,245,19,110,Olej Napędowy,manualna,srebrny metalik,11600
Audi,Q5,2015,85000,1985,230,Benzyna,automatyczna,biały,82000
Seat,Leon,2002,350,1600,105,Autogaz,manualna,czarny,6500
Audi,A4,1995,308000,1800,150,Benzyna,manualna,granatowy metalik,2000
BMW,Seria 3,1994,260000,2000,150,Benzyna,manualna,bordowy metalik,8800
Volkswagen,Golf,2002,195624,1,105,Benzyna,manualna,złoty metalik,8500
Saab,9-3,2007,261000,1900,150,Olej Napędowy,manualna,czarny metalik,9900
Volkswagen,Passat,2007,286,1896,105,Olej Napędowy,manualna,czarny metalik,16500
Volvo,V50,2009,234000,1600,109,Olej Napędowy,manualna,srebrny metalik,17400
BMW,Seria 3,2007,192354,2000,129,Benzyna,manualna,srebrny,17800
Opel,Zafira,2000,1111,1,11,Autogaz,manualna,srebrny,4500
Volkswagen,Polo,1999,251000,1390,60,Benzyna,manualna,czerwony,3500
Mercedes-Benz,Klasa E,2002,206,2600,176,Autogaz,manualna,grafitowy,16000
Volkswagen,Golf,1992,265000,1272,55,Benzyna,manualna,czarny,3900
Volvo,V40,2012,213500,1560,115,Olej Napędowy,manualna,czarny,36000
Mercedes-Benz,Klasa A,1998,202421,1,102,Benzyna,manualna,szary,5500
Lancia,Ypsilon,2000,300000,1242,60,Benzyna,manualna,czarny,2800
Ford,Focus,2007,305000,1,110,Olej Napędowy,manualna,srebrny,9200
BMW,Seria 1,2006,260,2000,122,Olej Napędowy,manualna,brązowy metalik,14600
Renault,Scenic,2005,176000,1998,136,Benzyna,manualna,srebrny metalik,10000
Volvo,V50,2006,290000,2000,135,Olej Napędowy,manualna,srebrny metalik,11500
Volkswagen,Jetta,2006,264000,1900,105,Olej Napędowy,manualna,szary metalik,15000
Audi,A4,2009,230000,1990,143,Olej Napędowy,manualna,srebrny,34800
Renault,Twingo,2008,199000,1200,58,Benzyna,manualna,srebrny metalik,7900
Ford,Mondeo,2009,219000,1753,125,Olej Napędowy,manualna,czarny metalik,9800
Audi,A4,2007,268000,1896,116,Olej Napędowy,manualna,czarny metalik,21900
Mini,Cooper S,2006,118000,1600,170,Benzyna,manualna,grafitowy metalik,14800
Volkswagen,Passat,2002,220000,1900,130,Olej Napędowy,manualna,srebrny,9500
Volkswagen,Golf,1998,251000,1781,125,Benzyna,manualna,czarny metalik,5600
Chrysler,PT Cruiser,2008,2200,1600,130,Benzyna,manualna,czarny,5600
Chevrolet,Captiva,2012,123000,2,184,Olej Napędowy,manualna,biały metalik,39300
Subaru,Outback,2008,215,3000,250,Benzyna,automatyczna,niebieski metalik,30500
Citroën,C4,2007,170000,1400,98,Benzyna,manualna,czarny metalik,15500
Opel,Meriva,2008,130000,1400,90,Benzyna,manualna,grafitowy metalik,14500
Audi,A4 Allroad,1998,254000,1800,125,Autogaz,manualna,granatowy metalik,7500
Mazda,6,2006,304500,2000,143,Olej Napędowy,manualna,srebrny,5900
Fiat,126,1987,10000,652,24,Benzyna,manualna,żółty,2200
Ford,Focus,2004,195000,1753,90,Olej Napędowy,manualna,srebrny,6000
Opel,Adam,2013,13000,1200,70,Benzyna,manualna,niebieski metalik,34900
Volkswagen,Golf,2006,230000,1,105,Olej Napędowy,manualna,czarny metalik,14500
Seat,Toledo,1999,335000,1600,100,Benzyna,manualna,niebieski metalik,3500
Mercedes-Benz,Klasa S,1999,260000,4300,280,Benzyna,automatyczna,niebieski,9500
Volkswagen,Passat,2013,69000,1400,160,Benzyna,automatyczna,czarny metalik,43500
Hyundai,ix35,2013,167367,1685,115,Olej Napędowy,manualna,srebrny,48900
Opel,Astra,2016,86000,1,110,Olej Napędowy,manualna,szary,42500
BMW,Seria 3,1991,180000,1800,113,Benzyna,manualna,czerwony,9500
Opel,Insignia,2009,291000,2,160,Olej Napędowy,manualna,czarny metalik,22500
Hyundai,Getz,2003,154200,1341,80,Benzyna,manualna,niebieski metalik,2950
Audi,A4,2012,220000,1968,143,Olej Napędowy,automatyczna,srebrny metalik,43900
Hyundai,ix35,2013,122510,1685,115,Olej Napędowy,manualna,niebieski,42900
Volkswagen,Passat,2003,308000,1900,101,Olej Napędowy,manualna,szary metalik,10700
BMW,Seria 1,2007,168000,1995,143,Olej Napędowy,manualna,grafitowy metalik,19500
BMW,Seria 3,1993,164000,1595,100,Benzyna,automatyczna,srebrny metalik,6900
Citroën,C5,2008,263000,2000,140,Olej Napędowy,automatyczna,czarny metalik,20000
BMW,Seria 3,2007,321450,18,170,Olej Napędowy,manualna,czarny metalik,19500
Opel,Astra,2006,280,1900,105,Olej Napędowy,manualna,srebrny,10600
Peugeot,308,2013,112000,1560,92,Olej Napędowy,manualna,biały metalik,31500
Honda,CR-V,2005,272000,2000,150,Benzyna,manualna,srebrny,27500
Opel,Insignia,2010,210600,1989,110,Olej Napędowy,manualna,biały,25900
Ford,C-MAX,2013,125660,1000,125,Benzyna,manualna,czerwony,34900
BMW,Seria 5,1999,246000,2500,170,Autogaz,manualna,srebrny,5800
Opel,Corsa,2010,210,1,1,Benzyna,manualna,niebieski,11900
Audi,A4,2008,245000,1781,163,Benzyna,automatyczna,srebrny metalik,33000
Opel,Astra,2004,280000,1700,100,Olej Napędowy,manualna,szary,4500
Peugeot,306,1996,140000,1998,121,Benzyna,automatyczna,niebieski metalik,3900
Audi,A3,1999,297,1,60,Olej Napędowy,manualna,srebrny,5600
Opel,Zafira,2006,308000,1900,120,Olej Napędowy,manualna,czarny metalik,13900
Audi,A6,2006,310321,2700,180,Olej Napędowy,manualna,srebrny metalik,19900
Ford,Focus,2004,212000,16,100,Benzyna,manualna,granatowy,3300
Audi,A6,2001,261000,2800,197,Benzyna,manualna,czarny metalik,7999
Opel,Insignia,2014,240000,1956,103,Olej Napędowy,manualna,srebrny,35000
Subaru,Forester,2014,115000,2500,177,Benzyna,automatyczna,czarny metalik,62500
Hyundai,i40,2015,220000,1685,137,Olej Napędowy,automatyczna,biały metalik,42000
Citroën,C3 Picasso,2011,135000,1600,110,Olej Napędowy,manualna,biały,22500
Fiat,Croma,2008,241437,1900,120,Olej Napędowy,manualna,srebrny,6800
Mitsubishi,Space Star,2018,25500,999,71,Benzyna,manualna,srebrny metalik,27500
Mercedes-Benz,Klasa C,2005,220000,1800,163,Benzyna,manualna,czarny metalik,24900
Suzuki,Vitara,1990,95000,1600,85,Benzyna,manualna,zielony,25000
Audi,A6,2000,240,2,180,Olej Napędowy,automatyczna,granatowy,9000
Dacia,Duster,2019,47100,1598,115,Autogaz,manualna,pomarańczowy metalik,69000
Nissan,Pulsar,2015,87000,1200,116,Benzyna,manualna,brązowy metalik,38900
Toyota,Yaris,2017,37000,1500,100,Hybryda,automatyczna,niebieski metalik,55900
Audi,A4,1999,377000,1900,110,Olej Napędowy,manualna,zielony metalik,5000
Audi,TT,2000,312000,1781,225,Autogaz,manualna,srebrny,19500
Fiat,Uno,2000,133500,900,65,Autogaz,manualna,czerwony,2300
Toyota,Avensis,2004,287000,1995,116,Olej Napędowy,manualna,srebrny,10500
Land Rover,Freelander,2001,142578,2000,110,Olej Napędowy,manualna,granatowy,7000
Daewoo,Evanda,2003,255142,2000,130,Autogaz,manualna,szary,5950
Audi,80,1990,219,1595,70,Benzyna,manualna,srebrny metalik,3200
Audi,A4,2001,301000,1896,131,Olej Napędowy,manualna,czarny,13000
Volkswagen,Polo,1998,347,1896,64,Olej Napędowy,manualna,biały,3300
Škoda,Felicia,1999,190000,1,75,Olej Napędowy,manualna,biały,2800
Audi,A4,2012,252000,2000,163,Olej Napędowy,manualna,czarny metalik,43500
Ford,Mondeo,2008,301000,1800,125,Olej Napędowy,manualna,grafitowy metalik,18500
Volkswagen,Passat,2002,307000,1900,131,Olej Napędowy,automatyczna,srebrny metalik,9900
Audi,A6,2001,181000,2393,170,Benzyna,automatyczna,srebrny,12000
Ford,C-MAX,2008,270000,1600,90,Olej Napędowy,manualna,grafitowy,11200
Opel,Vectra,2004,297338,1910,150,Olej Napędowy,manualna,srebrny,6500
Ford,Kuga,2010,238000,1997,136,Olej Napędowy,manualna,czarny,39800
Citroën,C4,2011,130,1600,140,Benzyna,automatyczna,szary metalik,24500
Audi,A4,2010,201500,1798,120,Benzyna,manualna,czarny metalik,33000
Toyota,Yaris,2017,75500,1500,111,Benzyna,manualna,czerwony metalik,61000
Hummer,H3,2008,190,3500,223,Benzyna,automatyczna,czerwony,68900
Audi,A6,2004,331000,2500,163,Olej Napędowy,manualna,srebrny metalik,7600
Volkswagen,Polo,2003,175000,1200,47,Benzyna,manualna,czarny,6000
Subaru,Forester,2007,270000,2000,150,Olej Napędowy,manualna,czarny,15500
Chevrolet,Captiva,1996,285000,2000,150,Olej Napędowy,manualna,granatowy metalik,21000
Škoda,Fabia,2001,235000,1400,70,Autogaz,manualna,złoty,3700
Volkswagen,Sharan,2001,285423,1890,115,Olej Napędowy,manualna,zielony metalik,8700
Audi,A4,1997,195000,1781,150,Benzyna,manualna,granatowy metalik,7500
BMW,X5,2012,171000,2993,306,Olej Napędowy,automatyczna,czarny metalik,99000
Audi,A3,2011,213000,1600,105,Olej Napędowy,manualna,czarny,26900
BMW,Seria 3,1996,250000,1600,105,Autogaz,manualna,czarny metalik,3600
Opel,Mokka,2018,36000,1600,115,Benzyna,manualna,bordowy metalik,69500
Ford,Fiesta,2010,110000,1250,82,Benzyna,manualna,pomarańczowy metalik,22400
BMW,Seria 3,2003,250000,2200,170,Benzyna,manualna,szary metalik,13500
Fiat,Panda,2005,158000,1100,55,Benzyna,manualna,srebrny,6800
Mercedes-Benz,Klasa B,2007,235000,1992,140,Olej Napędowy,automatyczna,granatowy,11500
Toyota,Corolla Verso,2006,154000,1800,129,Benzyna,manualna,niebieski metalik,23500
Jeep,Compass,2007,205000,2000,140,Olej Napędowy,manualna,czarny,20500
BMW,Seria 5,1997,204200,1991,150,Benzyna,manualna,czarny metalik,15500
Suzuki,Grand Vitara,2007,260,2000,140,Benzyna,manualna,srebrny metalik,22500
Volkswagen,Polo,1999,170000,999,50,Benzyna,manualna,czarny,2200
Peugeot,307 CC,2005,203000,2000,177,Benzyna,manualna,srebrny,7900
Ford,C-MAX,2010,247000,1600,115,Olej Napędowy,manualna,szary metalik,24900
Peugeot,RCZ,2010,73000,1600,160,Benzyna,manualna,czarny metalik,34900
Audi,A1,2011,135000,1200,86,Benzyna,manualna,czerwony metalik,26500
BMW,Seria 3,2010,115000,2000,143,Benzyna,manualna,czerwony metalik,36500
Ford,Mondeo,2016,200000,2000,110,Olej Napędowy,manualna,srebrny metalik,50000
Volkswagen,Polo,2001,82000,1400,75,Benzyna,manualna,srebrny metalik,4999
Fiat,Croma,2009,246000,1900,150,Olej Napędowy,automatyczna,złoty metalik,12000
Volkswagen,Touareg,2004,416000,2,174,Olej Napędowy,manualna,szary metalik,22000
BMW,Seria 5,1996,332000,2,193,Autogaz,automatyczna,brązowy metalik,8600
BMW,X3,2005,235000,2000,150,Olej Napędowy,manualna,czarny metalik,23000
Citroën,C5,2005,350000,1600,110,Olej Napędowy,manualna,srebrny metalik,5800
Volkswagen,Lupo,1999,284000,1200,60,Olej Napędowy,automatyczna,srebrny metalik,4500
Volkswagen,Passat,2005,171000,1580,115,Benzyna,manualna,szary metalik,18700
Volkswagen,Multivan,2016,245000,1968,179,Olej Napędowy,automatyczna,brązowy metalik,139000
Ford,C-MAX,2007,269876,1800,125,Benzyna,manualna,czerwony metalik,14000
Volkswagen,Tiguan,2012,164000,2000,140,Olej Napędowy,automatyczna,czarny metalik,56200
Mercedes-Benz,Klasa A,2011,220000,1500,95,Benzyna,manualna,biały metalik,19500
Chevrolet,Cruze,2014,113761,1598,124,Benzyna,manualna,grafitowy metalik,25800
Ford,Kuga,2019,44300,1999,230,Benzyna,automatyczna,biały,130000
Ford,C-MAX,2008,229000,1999,145,Autogaz,manualna,grafitowy metalik,19300
Citroën,C4 Grand Picasso,2010,215225,1560,108,Olej Napędowy,manualna,brązowy metalik,14300
Volkswagen,Golf,2006,161000,1900,105,Olej Napędowy,manualna,szary,15900
Seat,Ibiza,2003,96000,1400,75,Benzyna,manualna,zielony,10900
Volkswagen,Passat,1999,317000,1,125,Autogaz,manualna,zielony,6300
Audi,A4,1995,230000,1,101,Benzyna,manualna,granatowy,3650
Honda,HR-V,1999,217000,1600,105,Benzyna,manualna,niebieski metalik,7950
Suzuki,Grand Vitara,2007,214458,190,120,Olej Napędowy,manualna,złoty metalik,20500
Audi,A6,2005,307000,2400,177,Autogaz,manualna,złoty metalik,20700
Audi,A4,1997,284000,1600,80,Benzyna,manualna,granatowy,3600
Audi,A4,2002,154200,2000,131,Benzyna,automatyczna,srebrny metalik,12999
Peugeot,207,2006,83000,1360,73,Benzyna,manualna,zielony,14000
Casalini,Sulky,2009,35279,500,5,Olej Napędowy,automatyczna,srebrny,16000
Peugeot,206,2006,330000,1398,68,Olej Napędowy,manualna,czarny,4500
BMW,Seria 5,2003,335000,2000,160,Olej Napędowy,manualna,granatowy,13700
Suzuki,Vitara,1996,217000,2000,136,Autogaz,manualna,bordowy,17500
Volkswagen,Passat,2009,298999,1989,110,Olej Napędowy,manualna,czarny metalik,21900
Opel,Frontera,1996,336000,2200,136,Autogaz,manualna,granatowy metalik,9900
Fiat,Panda,2007,377000,1100,54,Autogaz,manualna,biały,3500
BMW,X5,2008,322000,3000,235,Olej Napędowy,automatyczna,czarny,50000
Toyota,Corolla,2000,217700,1398,97,Benzyna,manualna,granatowy,5000
Toyota,Auris,2007,274000,1600,124,Benzyna,automatyczna,czarny,20000
Opel,Zafira,2005,301000,1800,125,Autogaz,manualna,srebrny metalik,11500
Honda,CR-V,2003,320000,2000,150,Benzyna,manualna,srebrny,23700
Peugeot,208,2018,20000,1200,68,Benzyna,manualna,srebrny,37500
Toyota,Avensis,2003,330000,1998,150,Autogaz,manualna,srebrny metalik,7900
BMW,Z4,2002,130,2500,190,Benzyna,manualna,srebrny metalik,42000
Renault,Clio,2001,243000,1149,60,Autogaz,manualna,granatowy,4250
Volkswagen,Polo,2015,150000,1000,90,Benzyna,sekwencyjna,czerwony,29900
Mercedes-Benz,CLS,2006,280000,3,244,Olej Napędowy,automatyczna,srebrny metalik,38000
Škoda,Fabia,2003,192000,1,75,Benzyna,manualna,srebrny metalik,6500
Audi,A6,2008,315000,3000,280,Olej Napędowy,manualna,srebrny,22000
Volvo,V50,2005,280000,1600,110,Olej Napędowy,manualna,szary,10800
Toyota,Yaris,2007,222400,998,69,Benzyna,manualna,czerwony,4500
Volkswagen,Golf,2008,260000,1,105,Olej Napędowy,manualna,granatowy metalik,12000
Suzuki,Vitara,1994,53000,1599,80,Benzyna,manualna,czarny,13499
Hyundai,Santa Fe,2006,256000,2200,155,Olej Napędowy,automatyczna,czarny metalik,30000
Opel,Mokka,2014,163000,1400,140,Benzyna,manualna,biały metalik,54900
Seat,Ibiza,2008,178000,1400,85,Benzyna,manualna,srebrny metalik,19000
Mazda,CX-3,2017,113518,1499,105,Olej Napędowy,manualna,czerwony metalik,66900
Volkswagen,Lt,1997,298432,2500,102,Olej Napędowy,manualna,biały,8900
Volkswagen,Polo,2006,190000,1200,60,Benzyna,manualna,czerwony metalik,6800
Kia,Sorento,2005,200,3500,3500,Autogaz,automatyczna,czarny,5500
Mercedes-Benz,W124,1991,3800000,30000,118,Olej Napędowy,manualna,czarny,15000
BMW,M3,2002,370656,2000,110,Olej Napędowy,manualna,granatowy,8200
BMW,Seria 1,2008,218393,1600,90,Benzyna,manualna,czarny,16000
Honda,Civic,2002,227000,1700,101,Olej Napędowy,manualna,niebieski,6000
Volkswagen,up!,2015,23000,999,75,Benzyna,manualna,niebieski metalik,29000
Kia,Cee'd,2010,159350,1600,125,Benzyna,manualna,niebieski,23500
Audi,A4,1997,288900,1781,125,Benzyna,manualna,granatowy,3999
Jeep,Liberty,2004,250000,2800,150,Olej Napędowy,automatyczna,czarny,10000
Peugeot,206,2006,168500,1,68,Olej Napędowy,manualna,srebrny,4600
Audi,A4,2007,316000,2000,140,Olej Napędowy,automatyczna,czarny metalik,19000
Opel,Astra,1994,202000,2000,115,Benzyna,manualna,czarny,4000
Ford,Galaxy,2009,198000,1800,125,Olej Napędowy,manualna,srebrny metalik,25500
Alfa Romeo,159,2009,313400,1742,200,Benzyna,manualna,czerwony,34000
Peugeot,308,2019,111000,1500,130,Olej Napędowy,manualna,grafitowy metalik,57500
Volkswagen,Golf,2002,279000,1900,131,Olej Napędowy,automatyczna,czarny,9800
Peugeot,308,2019,25200,1200,130,Benzyna,manualna,czarny,64500
Hyundai,ix35,2010,206000,2000,185,Olej Napędowy,manualna,czarny metalik,40000
Audi,A4,2001,247000,3000,220,Autogaz,manualna,granatowy,17500
Audi,A4,1995,303000,1800,125,Benzyna,manualna,srebrny,3100
Citroën,DS5,2013,129700,1997,163,Hybryda,automatyczna,srebrny metalik,54900
BMW,X3,2012,262000,1997,245,Benzyna,automatyczna,srebrny metalik,52000
Renault,Laguna,2004,123000,2946,210,Benzyna,automatyczna,bordowy metalik,14000
Renault,Laguna,2002,137000,2946,210,Benzyna,automatyczna,srebrny metalik,12000
Opel,Astra,2002,243000,1389,60,Autogaz,manualna,granatowy,3900
Hyundai,i20,2014,194000,1240,85,Benzyna,manualna,szary metalik,1
Citroën,C5,2007,300000,1560,110,Olej Napędowy,manualna,zielony metalik,11000
Fiat,Bravo,2013,90794,1368,66,Benzyna,manualna,bordowy metalik,21000
Mitsubishi,Pajero,2000,280719,3200,165,Olej Napędowy,manualna,czarny,9500
Audi,A4,2004,245000,1781,190,Benzyna,manualna,zielony metalik,20500
Hyundai,Accent,1997,178500,1300,75,Benzyna,manualna,granatowy metalik,1950
Renault,Clio,2001,220000,1200,75,Benzyna,manualna,granatowy,3500
Land Rover,Range Rover,2006,333000,3000,177,Olej Napędowy,automatyczna,czarny,29999
Opel,Astra,2001,264000,1,125,Olej Napędowy,manualna,srebrny,2000
Alfa Romeo,Crosswagon,2005,330,1900,150,Olej Napędowy,manualna,czarny,7700
BMW,Seria 5,2000,400,3000,184,Olej Napędowy,automatyczna,grafitowy,6500
Ford,Kuga,2017,105000,1500,185,Benzyna,automatyczna,złoty metalik,65500
Citroën,C5,2008,275000,1997,136,Olej Napędowy,manualna,grafitowy,20700
Fiat,Bravo,2008,210277,1368,120,Benzyna,automatyczna,brązowy metalik,18100
Ford,S-Max,2012,209000,1600,116,Olej Napędowy,manualna,szary metalik,33990
Dacia,Duster,2010,130000,1600,105,Benzyna,manualna,srebrny metalik,25500
Ford,Fiesta,2010,80000,1399,68,Olej Napędowy,manualna,czarny metalik,15900
Mercedes-Benz,Klasa C,2004,205000,1800,143,Benzyna,manualna,złoty metalik,12900
Audi,A3,1999,217000,1600,101,Benzyna,manualna,bordowy metalik,8400
Mercedes-Benz,Klasa A,1999,240000,1400,82,Autogaz,manualna,niebieski,4500
Škoda,Fabia,2007,197000,1200,60,Benzyna,manualna,niebieski metalik,12000
BMW,Seria 3,2007,178005,2000,205,Olej Napędowy,manualna,szary metalik,26999
Opel,Meriva,2003,227000,1,74,Benzyna,manualna,czarny,5400
Ford,Mondeo,2009,210600,1753,125,Olej Napędowy,manualna,grafitowy,21800
Seat,Ibiza,2003,260000,1896,130,Olej Napędowy,automatyczna,niebieski,7000
Toyota,Yaris,2012,201220,1400,66,Olej Napędowy,manualna,czarny metalik,22000
Ford,C-MAX,2007,267121,1800,125,Benzyna,manualna,czerwony metalik,14500
Nissan,Patrol,1989,278000,2800,150,Olej Napędowy,manualna,biały,37900
Opel,Zafira,2005,237450,1800,125,Benzyna,manualna,niebieski metalik,19200
Alfa Romeo,166,2002,285744,2400,150,Olej Napędowy,manualna,srebrny,5200
Toyota,Yaris,2001,225059,1300,86,Benzyna,manualna,granatowy,3000
Mazda,323,1994,100986,1500,90,Benzyna,automatyczna,granatowy,2950
BMW,Seria 3,1999,452351,1900,105,Autogaz,manualna,czarny,3300
Volkswagen,Golf,2013,47000,1200,86,Benzyna,manualna,szary,39900
Opel,Astra,2020,7000,1200,130,Benzyna,manualna,srebrny metalik,67900
Renault,Clio,2006,157050,1200,60,Benzyna,manualna,granatowy,8900
Daewoo,Kalos,2004,170000,1000,64,Benzyna,manualna,czerwony,6400
Citroën,C1,2008,163000,1000,68,Benzyna,manualna,czerwony,8500
Volkswagen,Jetta,2015,127,2000,110,Olej Napędowy,manualna,czarny,45000
Alfa Romeo,159,2006,240500,2387,200,Olej Napędowy,manualna,czarny,19500
Renault,Scenic,2000,180000,1998,140,Benzyna,manualna,szary,7900
BMW,Seria 5,1999,370000,2926,184,Olej Napędowy,automatyczna,srebrny,6500
Alfa Romeo,159,2006,337000,1,150,Olej Napędowy,manualna,beżowy,9300
Volkswagen,Beetle,2002,23000,1900,101,Olej Napędowy,manualna,srebrny metalik,7700
BMW,Seria 3,2002,337,2,163,Olej Napędowy,manualna,srebrny metalik,8800
Jeep,Grand Cherokee,2002,260000,4000,190,Autogaz,automatyczna,fioletowy,26600
Honda,Civic,1999,371000,1400,90,Benzyna,manualna,zielony,3750
Opel,Corsa,2001,1,1200,75,Benzyna,automatyczna,bordowy metalik,1
Daewoo,Matiz,2001,52722,796,51,Benzyna,manualna,beżowy metalik,4300
Fiat,Grande Punto,2006,179000,1242,65,Benzyna,manualna,czarny metalik,10900
Peugeot,106,2003,215000,1124,60,Autogaz,manualna,srebrny,2700
Citroën,C5,2009,240,1560,110,Olej Napędowy,manualna,szary metalik,18900
Opel,Astra,2008,225,1600,115,Autogaz,manualna,beżowy metalik,17000
Peugeot,206,2007,158000,1,70,Olej Napędowy,manualna,niebieski metalik,5500
Peugeot,307,2002,230000,1600,115,Benzyna,manualna,zielony,7700
Volkswagen,Golf,2009,204000,1400,122,Benzyna,manualna,szary,24500
Volkswagen,Caddy,2012,312000,1600,102,Olej Napędowy,manualna,srebrny metalik,30000
Fiat,Bravo,2007,224600,1910,120,Olej Napędowy,manualna,brązowy metalik,10500
Hyundai,ix35,2010,240000,2,140,Olej Napędowy,manualna,srebrny,33000
Toyota,Celica,1995,155000,1800,155,Benzyna,manualna,srebrny metalik,7500
Audi,A3,2007,1,2,170,Olej Napędowy,manualna,czarny metalik,17000
Ford,Mondeo,2015,229,2000,150,Olej Napędowy,manualna,grafitowy metalik,47900
Renault,Clio,2013,89000,1,75,Benzyna,manualna,biały,18000
Lancia,Ypsilon,1999,179000,1100,60,Benzyna,manualna,szary,1900
BMW,Seria 5,2015,159000,2000,184,Olej Napędowy,automatyczna,szary metalik,83900
Mini,Countryman,2012,90000,1600,218,Benzyna,manualna,czarny metalik,75900
Ford,Mondeo,2009,259000,2000,140,Olej Napędowy,manualna,srebrny metalik,29900
Volkswagen,Passat,2006,230000,2000,140,Olej Napędowy,manualna,czarny,7550
Toyota,Tercel,1995,150000,1497,74,Benzyna,manualna,zielony,1500
Opel,Mokka,2015,162000,1400,140,Benzyna,manualna,biały,48900
Opel,Meriva,2016,39000,1398,74,Benzyna,manualna,biały,43000
Opel,Zafira,2004,325,2,115,Olej Napędowy,manualna,srebrny metalik,6500
Citroën,Berlingo,2006,209490,1560,75,Olej Napędowy,manualna,niebieski metalik,14
Kia,Sportage,2011,138800,1998,163,Autogaz,manualna,biały metalik,49500
Volkswagen,Touran,2008,32000,1900,105,Olej Napędowy,manualna,czarny metalik,18500
Ford,C-MAX,2012,203000,998,100,Benzyna,manualna,srebrny metalik,24000
Mitsubishi,Pajero,1997,319800,2500,99,Olej Napędowy,manualna,zielony,21700
Citroën,Saxo,2001,126,1100,60,Benzyna,manualna,granatowy,4000
Peugeot,2008,2013,150000,1600,90,Olej Napędowy,manualna,szary,30000
Opel,Adam,2019,21200,1400,87,Benzyna,manualna,szary metalik,44000
Audi,A6 Allroad,2001,374000,2500,180,Olej Napędowy,manualna,srebrny metalik,13700
Renault,Scenic,2006,20,1500,110,Olej Napędowy,manualna,grafitowy metalik,7000
Toyota,Verso,2010,135000,1,137,Benzyna,manualna,biały,33500
Opel,Astra,2008,272456,1700,100,Olej Napędowy,manualna,granatowy metalik,13900
